"District","R25_2020","R30_2000","R31_2000","R31_2022","R40_2012","R48_2014","R67_2016","R72_2004","R94_2008","R95_2008","R96_2008","R97_2008","Average_Ref"
1,0.681,0.371,0.314,0.553,NA,NA,0.578,0.495,0.432,NA,0.432,NA,0.482
2,0.503,0.759,0.779,0.684,NA,0.392,0.631,0.649,0.507,0.507,0.508,0.508,0.584272727272727
3,0.687,0.749,0.785,NA,NA,0.649,0.584,0.615,0.517,0.518,0.518,0.518,0.614
4,0.48,0.751,0.767,0.677,NA,NA,0.591,0.651,NA,NA,NA,NA,0.652833333333333
5,0.695,NA,0.744,NA,NA,0.37,0.595,0.623,0.516,0.517,0.516,0.516,0.565777777777778
6,0.667,0.567,NA,NA,NA,0.664,0.579,0.523,0.609,0.61,0.61,0.61,0.604333333333333
7,0.489,0.386,0.338,0.58,NA,0.401,0.579,0.53,0.435,0.565,0.435,0.436,0.470363636363636
8,0.605,0.306,0.279,0.522,NA,0.351,0.526,0.512,0.48,0.48,0.48,0.48,0.456454545454545
9,0.581,0.351,0.319,0.526,NA,NA,0.478,0.568,NA,NA,NA,NA,0.4705
10,0.588,0.741,0.751,0.642,NA,0.642,0.718,0.6,0.52,0.521,0.52,0.52,0.614818181818182
11,0.435,0.308,0.278,NA,NA,NA,0.551,0.563,0.492,0.495,0.493,0.494,0.456555555555556
12,0.675,0.559,0.436,NA,NA,0.347,0.62,0.663,0.579,0.58,0.58,0.584,0.5623
13,0.43,0.633,0.445,0.61,NA,NA,NA,0.709,0.609,0.611,0.612,0.614,0.585888888888889
14,0.51,0.54,0.405,0.815,NA,0.373,0.567,0.657,0.588,0.589,0.59,0.59,0.565818181818182
15,0.656,0.69,0.715,NA,NA,0.431,0.776,0.579,0.525,0.525,0.525,0.525,0.5947
16,0.518,NA,NA,0.743,NA,0.335,0.604,0.726,0.572,0.572,0.573,0.573,0.579555555555555
17,0.592,NA,0.24,0.787,NA,0.475,0.784,0.514,0.56,0.559,0.558,0.559,0.5628
18,0.61,0.344,0.304,0.782,NA,0.434,0.727,0.599,0.496,0.496,0.496,0.495,0.525727272727273
19,0.526,0.455,0.615,0.775,NA,0.417,0.719,0.553,0.47,0.53,0.47,0.47,0.545454545454545
20,0.52,NA,0.689,0.704,NA,0.381,0.635,0.568,NA,NA,NA,NA,0.582833333333333
21,0.64,0.551,0.629,NA,NA,0.376,0.585,0.497,0.525,0.525,0.525,0.525,0.5378
22,0.541,0.632,0.686,0.546,NA,0.364,0.673,0.529,0.503,0.503,0.503,0.502,0.543818181818182
23,0.691,0.364,0.322,NA,NA,0.639,0.605,0.646,0.55,0.549,0.549,0.549,0.5464
24,0.592,0.336,0.296,0.707,NA,0.631,0.712,0.504,0.526,0.525,0.525,0.524,0.534363636363636
25,0.511,0.747,NA,0.679,NA,0.374,0.644,0.617,0.555,0.556,0.555,0.554,0.5792
26,0.708,0.772,0.782,NA,NA,0.326,0.643,0.553,0.536,0.537,0.535,0.536,0.5928
27,0.516,0.378,0.338,0.541,NA,0.419,0.651,0.532,0.549,0.452,0.547,0.452,0.488636363636364
28,0.52,0.274,0.25,0.72,NA,0.371,0.663,0.564,0.578,0.578,0.576,0.577,0.515545454545455
29,0.528,0.733,0.242,0.637,NA,0.512,0.696,0.633,0.564,0.564,0.565,0.564,0.567090909090909
30,0.443,0.25,0.233,0.654,NA,NA,0.588,0.475,0.575,0.574,0.575,0.575,0.4942
31,NA,0.218,0.243,0.549,NA,NA,0.58,NA,0.563,0.562,0.562,0.562,0.479875
32,0.664,0.787,0.795,0.448,NA,NA,0.612,0.642,0.622,0.623,0.622,0.622,0.6437
33,0.668,0.26,0.244,NA,NA,NA,0.659,0.581,0.617,0.618,0.618,0.618,0.542555555555556
